Y;RX1;X1_1;X1_2;X1_3;X1_4;X1_5;X2;X3;RX4;X4_1;X4_2;X4_3;X4_4;X5_1;X5_2;X5_3;X5_4;X5_5;RX5;X6_1;X6_2;X6_3;X6_4;X6_5;X6_6;X6_7;X7;X8;X9;RX10;X10_1;X10_2;X10_3;RX11;X11_1;X11_2;X11_3;X11_4;RX12;X12_1;X12_2;X12_3;X13;X14_1;X14_2;X14_3;RX15;X15_1;X15_2;X15_3;X15_4;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29
0;0.75;0;1;0;0;0;0.517903995;0.719664887;0;0;1;0;0;1;0;0;0;0;0.75;1;0;0;0;0;0;0;0.367346939;0.37254902;0.45211289;0.5;0;1;0;0.333333333;0;0;1;0;0.5;0;0;1;0.359108537;0;1;0;0.666666667;1;0;0;0;0;0;0;0;1;0;0.75;0;0;0;0;1;0;1
0;0.75;0;1;0;0;0;0.571134863;0.2894858;1;1;0;0;0;0;1;0;0;0;0.5;0;1;0;0;0;0;0;0.897959184;0.843137255;0.321866684;0.5;0;1;0;0;0;1;0;0;1;1;0;0;0.761724472;0;0;1;0.666666667;1;0;0;0;1;1;1;0;1;0;0.25;0;0;0;0;1;1;1
0;0.5;0;0;1;0;0;0.530145133;0.551556371;1;1;0;0;0;1;0;0;0;0;0.75;0;0;1;0;0;0;0;0.775510204;0.784313725;0.823300247;0.5;0;1;0;1;1;0;0;0;0.5;0;0;1;0.488470746;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0.5;0;0;0;1;1;1;1
0;0.5;0;0;1;0;0;0.952784612;0.66580629;0.333333333;0;0;1;0;0;0;1;0;0;0.25;0;1;0;0;0;0;0;0.306122449;0.333333333;0.533991138;0.5;0;1;0;0.666666667;0;0;0;1;0.5;0;0;1;0.357880628;1;0;0;0.666666667;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1
0;0.25;0;0;0;1;0;0.580362782;0.23744736;0.666666667;0;0;0;1;0;0;1;0;0;0.25;1;0;0;0;0;0;0;0.510204082;0.490196078;0.627315244;0.5;0;1;0;0.666666667;0;0;0;1;1;1;0;0;0.172468937;1;0;0;1;0;1;0;0;1;1;1;0;1;1;0.5;0.25;0;1;0;1;1;1
0;0.25;0;0;0;1;0;0.471614985;0.657531228;0;0;1;0;0;0;0;1;0;0;0.25;1;0;0;0;0;0;0;0.795918367;0.764705882;0.621827609;0.5;0;1;0;0;0;1;0;0;0.5;0;0;1;0.338627652;1;0;0;1;0;1;0;0;1;0;1;1;0;0;0.25;0;0;0;0;0;1;1
0;0.75;0;1;0;0;0;0.337260312;0.337198989;0.333333333;0;0;1;0;0;1;0;0;0;0.5;1;0;0;0;0;0;0;0.367346939;0.352941176;0.192045349;0.5;0;1;0;1;1;0;0;0;0;0;1;0;0.135241391;1;0;0;0.333333333;0;0;1;0;0;0;1;1;0;0;0.75;0;0;1;1;1;1;1
0;0.75;0;1;0;0;0;0.190641591;0.412021474;0.333333333;0;0;1;0;1;0;0;0;0;0.75;1;0;0;0;0;0;0;0.469387755;0.490196078;0.709205093;0;0;0;1;0.333333333;0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0
0;0.5;0;0;1;0;0;0.46840155;0.59237625;1;1;0;0;0;0;1;0;0;0;0.5;1;0;0;0;0;0;0;0.755102041;0.725490196;0.869283955;0.5;0;1;0;1;1;0;0;0;0.5;0;0;1;0.313206259;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0.5;0;0;1;1;0;0;0
0;0.25;0;0;0;1;0;0.502156568;0.257763737;0.666666667;0;0;0;1;0;0;1;0;0;0.25;0;1;0;0;0;0;0;0.489795918;0.450980392;0.432455038;0;0;0;1;1;1;0;0;0;1;1;0;0;0.358287062;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0
0;0.5;0;0;1;0;0;0.675027642;0.306298493;0.333333333;0;0;1;0;0;0;1;0;0;0.25;0;0;0;0;0;0;1;0.918367347;0.921568627;0.395238985;0.5;0;1;0;0.333333333;0;0;1;0;0.5;0;0;1;0.432913849;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0.25;0;0.5;0;0;1;1;1
0;0.5;0;0;1;0;0;0.667187298;0.642200085;1;1;0;0;0;0;1;0;0;0;0.5;0;0;0;0;0;0;1;0.612244898;0.549019608;0.651490242;0.5;0;1;0;0.333333333;0;0;1;0;1;1;0;0;0.506871134;0;1;0;0.666666667;1;0;0;0;1;0;1;0;0;0;0.75;0;0;0;0;1;1;0
0;0.25;0;0;0;1;0;0.421033758;0.369714697;1;1;0;0;0;1;0;0;0;0;0.75;1;0;0;0;0;0;0;0.897959184;0.882352941;0.502936762;0.5;0;1;0;0.333333333;0;0;1;0;1;1;0;0;0.43492751;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0.75;0;0;0;0;1;1;0
0;1;1;0;0;0;0;0.478318774;0.577523315;0.666666667;0;0;0;1;1;0;0;0;0;0.75;0;0;0;0;0;1;0;0.510204082;0.490196078;0.458822869;0;0;0;1;0.666666667;0;0;0;1;1;1;0;0;0.598203234;0;0;1;0.666666667;1;0;0;0;1;0;0;1;0;0;0;0.25;0;1;0;0;0;1
0;0.25;0;0;0;1;0;0.272566266;0.422954892;0.333333333;0;0;1;0;0;1;0;0;0;0.5;0;1;0;0;0;0;0;0.816326531;0.803921569;0.422537389;0.5;0;1;0;0.333333333;0;0;1;0;0;0;1;0;0.554866854;0;0;1;0.666666667;1;0;0;0;1;0;0;1;0;0;0.25;0;0;1;0;1;1;1
0;1;1;0;0;0;0;0.653474913;0.806323146;0.333333333;0;0;1;0;1;0;0;0;0;0.75;0;0;0;0;0;0;1;0.775510204;0.764705882;0.217162271;0.5;0;1;0;0.333333333;0;0;1;0;1;1;0;0;0.659028782;1;0;0;0.666666667;1;0;0;0;1;1;0;1;0;0;0.5;0;0.25;0;0;1;0;0
0;1;1;0;0;0;0;0.403858912;0.455933362;0.333333333;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.693877551;0.62745098;0.526147569;0.5;0;1;0;1;1;0;0;0;0;0;1;0;0.632642754;0;1;0;0.666666667;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;1;1
0;0.5;0;0;1;0;0;0.654145292;0.742748331;1;1;0;0;0;1;0;0;0;0;0.75;0;0;0;0;0;0;1;0.632653061;0.647058824;0.439671094;0.5;0;1;0;0;0;1;0;0;0.5;0;0;1;0.802829944;0;1;0;0.666666667;1;0;0;0;0;0;1;1;1;0;0.75;0;0;0;0;0;0;1
