Y;RX1;X1_1;X1_2;X1_3;X1_4;X1_5;X2;X3;RX4;X4_1;X4_2;X4_3;X4_4;X5_1;X5_2;X5_3;X5_4;X5_5;RX5;X6_1;X6_2;X6_3;X6_4;X6_5;X6_6;X6_7;X7;X8;X9;RX10;X10_1;X10_2;X10_3;RX11;X11_1;X11_2;X11_3;X11_4;RX12;X12_1;X12_2;X12_3;X13;X14_1;X14_2;X14_3;RX15;X15_1;X15_2;X15_3;X15_4;X16;X17;X18;X19;X20;X21;X22;X23;X24;X25;X26;X27;X28;X29
1;0.5;0;0;1;0;0;0.287968044944268;0.238549315629175;0;0;1;0;0;0;0;1;0;0;0.25;1;0;0;0;0;0;0;0.142857142857143;0.176470588235294;0.385845126358632;0.5;0;1;0;0.333333333333333;0;0;1;0;0.5;0;0;1;0.217758717503985;1;0;0;0.666666666666667;1;0;0;0;0;0;1;1;1;0;0.75;0.25;0;0;0;0;1;1
1;0.25;0;0;0;1;0;0.292681614885797;0.239954828733535;0.666666666666667;0;0;0;1;0;0;1;0;0;0.25;0;0;0;1;0;0;0;0.346938775510204;0.333333333333333;0.386435403930672;0.5;0;1;0;0.666666666666667;0;0;0;1;0.5;0;0;1;0.219041734100504;0;1;0;0.333333333333333;0;0;1;0;1;1;0;1;1;1;0.5;0.5;0.75;0;0;1;1;1
1;0.25;0;0;0;1;0;0.223865685170982;0.219435287883657;1;1;0;0;0;0;1;0;0;0;0.5;0;0;1;0;0;0;0;0.63265306122449;0.647058823529412;0.377817625810548;0;0;0;1;0.666666666666667;0;0;0;1;0.5;0;0;1;0.200310288291009;1;0;0;0.666666666666667;1;0;0;0;0;1;0;1;0;0;0.5;0;0;1;1;1;1;1
1;0.5;0;0;1;0;0;0.3669631739897;0.262104432118648;0;0;1;0;0;0;0;1;0;0;0.25;0;0;1;0;0;0;0;0.571428571428571;0.509803921568627;0.395737639582028;0;0;0;1;1;1;0;0;0;1;1;0;0;0.239260904353173;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0.25;0.75;0;0;1;1;0;1
1;1;1;0;0;0;0;0.458259206502575;0.289327783358511;1;1;0;0;0;1;0;0;0;0;0.75;0;0;0;1;0;0;0;0.285714285714286;0.274509803921569;0.407170587661116;0.5;0;1;0;1;1;0;0;0;1;1;0;0;0.264111352392221;1;0;0;1;0;1;0;0;0;1;1;1;0;1;0.25;0;0;0;0;1;1;1
0;0.25;0;0;0;1;0;0.350184777519897;0.413649159929689;0;0;1;0;0;1;0;0;0;0;0.75;0;0;0;0;0;1;0;0.591836734693878;0.568627450980392;0.876053373217403;0.5;0;1;0;0.333333333333333;0;0;1;0;1;1;0;0;0.628451733550098;1;0;0;0.666666666666667;1;0;0;0;1;1;0;0;1;0;0.5;0.5;0;0;0;1;0;1
0;1;1;0;0;0;0;0.828817324262135;0.747756139318071;0.333333333333333;0;0;1;0;1;0;0;0;0;0.75;0;0;1;0;0;0;0;0.653061224489796;0.607843137254902;0.527475693306393;0.5;0;1;0;0.333333333333333;0;0;1;0;0.5;0;0;1;0.513548812518251;1;0;0;1;0;1;0;0;1;0;1;1;0;0;0.25;0.25;0;0;0;0;0;0
0;0.25;0;0;0;1;0;0.416830193941688;0.583520804385961;0.333333333333333;0;0;1;0;1;0;0;0;0;0.75;0;0;0;0;0;0;1;0.63265306122449;0.607843137254902;0.401376586675033;0.5;0;1;0;0;0;1;0;0;0.5;0;0;1;0.333031807261191;1;0;0;0.666666666666667;1;0;0;0;1;1;1;1;1;0;0.25;0;0;0;0;0;1;1
0;0.5;0;0;1;0;0;0.843217021446146;0.688350339883484;1;1;0;0;0;0;0;1;0;0;0.25;0;0;0;0;0;0;1;0.612244897959184;0.607843137254902;0.698374460141451;0.5;0;1;0;0;0;1;0;0;1;1;0;0;0.689752243855579;0;1;0;0.666666666666667;1;0;0;0;1;0;0;1;0;0;0.5;0;0;1;0;1;0;0
1;0.75;0;1;0;0;0;0.25341913119702;0.175054696795894;1;1;0;0;0;0;0;1;0;0;0.25;0;0;0;1;0;0;0;0.0816326530612245;0.0392156862745098;0.45280508147658;0;0;0;1;0.666666666666667;0;0;0;1;0;0;1;0;0.265799378718464;1;0;0;0.666666666666667;1;0;0;0;0;1;0;0;1;0;0.5;0;0;1;1;1;1;1
1;0.5;0;0;1;0;0;0.273713779123627;0.162099145108238;0.666666666666667;0;0;0;1;0;0;1;0;0;0.25;0;0;0;1;0;0;0;0.469387755102041;0.450980392156863;0.382653548417075;0;0;0;1;1;1;0;0;0;1;1;0;0;0.16596736116402;1;0;0;1;0;1;0;0;0;1;1;0;0;1;0.25;0;0;1;0;1;1;1
1;0;0;0;0;0;1;0.220219940034465;0.194646931662717;0.666666666666667;0;0;0;1;0;0;1;0;0;0.25;0;0;0;0;1;0;0;0.469387755102041;0.431372549019608;0.447665911875625;0;0;0;1;0.666666666666667;0;0;0;1;0;0;1;0;0.0552064526082355;1;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;1;1;1
1;0.75;0;1;0;0;0;0.123525017182815;0.211186363552657;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.224489795918367;0.235294117647059;0.653342219098136;0.5;0;1;0;0.666666666666667;0;0;0;1;0.5;0;0;1;0.187673103530926;0;0;1;0.666666666666667;1;0;0;0;1;0;1;0;1;1;0.25;0.5;0;0;0;1;1;1
1;0;0;0;0;0;1;0.161335179448357;0.225973359407997;0.666666666666667;0;0;0;1;0;0;1;0;0;0.25;0;0;0;1;0;0;0;0.224489795918367;0.176470588235294;0.450436361946681;0;0;0;1;0.666666666666667;0;0;0;1;0.5;0;0;1;0.215667376049399;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0.5;0;1;0;1;0;1;1
1;0.25;0;0;0;1;0;0.239100118536522;0.214756580694333;1;1;0;0;0;0;0;1;0;0;0.25;0;0;0;1;0;0;0;0.285714285714286;0.235294117647059;0.469190835104925;0.5;0;1;0;1;1;0;0;0;0.5;0;0;1;0.171667796852813;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0.25;0;0;0;1;1;1;1
1;0.75;0;1;0;0;0;0.160340070325029;0.212536036322356;0.666666666666667;0;0;0;1;0;0;1;0;0;0.25;0;0;1;0;0;0;0;0.102040816326531;0.137254901960784;0.373959802621259;0;0;0;1;1;1;0;0;0;1;1;0;0;0.010687986469218;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;1
1;0.5;0;0;1;0;0;0.297553565558666;0.264456260681692;0;0;1;0;0;0;0;1;0;0;0.25;0;1;0;0;0;0;0;0.63265306122449;0.627450980392157;0.452172329366652;0.5;0;1;0;1;1;0;0;0;1;1;0;0;0.16543085036724;1;0;0;0.333333333333333;0;0;1;0;0;0;1;0;1;1;0.25;0;0;1;0;1;0;1
0;0.25;0;0;0;1;0;0.477125439531432;0.471925083656544;0;0;1;0;0;1;0;0;0;0;0.75;0;1;0;0;0;0;0;0.510204081632653;0.470588235294118;0.533405537968713;1;1;0;0;0.333333333333333;0;0;1;0;1;1;0;0;0.336558340516184;0;0;1;0.666666666666667;1;0;0;0;0;1;1;1;1;0;0.75;0.5;0;1;0;1;1;1
0;0.5;0;0;1;0;0;0.368698389297845;0.420194954053503;0.333333333333333;0;0;1;0;0;0;1;0;0;0.25;0;1;0;0;0;0;0;0.510204081632653;0.529411764705882;0.506249027404809;0.5;0;1;0;0.666666666666667;0;0;0;1;1;1;0;0;0.299666529562118;1;0;0;0.666666666666667;1;0;0;0;0;0;0;0;1;0;0.25;0.25;0;1;0;1;0;1
0;0.5;0;0;1;0;0;0.555197179029993;0.509172369014317;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.673469387755102;0.647058823529412;0.5529592933634;0.5;0;1;0;0.333333333333333;0;0;1;0;1;1;0;0;0.363121894981892;0;0;1;1;0;1;0;0;1;1;1;0;1;1;0.25;0;0;0;0;1;0;1
0;0.5;0;0;1;0;0;0.849365979022024;0.649519327587323;0.333333333333333;0;0;1;0;0;1;0;0;0;0.5;0;1;0;0;0;0;0;0.387755102040816;0.411764705882353;0.626636462550836;0;0;0;1;0;0;1;0;0;0;0;1;0;0.463211491946034;1;0;0;0.666666666666667;1;0;0;0;1;0;0;1;1;0;0;0.25;0;0;0;0;1;1
0;0.25;0;0;0;1;0;0.436132721060653;0.452367303464299;0.666666666666667;0;0;0;1;1;0;0;0;0;0.75;0;0;1;0;0;0;0;0.73469387755102;0.745098039215686;0.523138550258574;0;0;0;1;0;0;1;0;0;0;0;1;0;0.322610754401287;0;1;0;1;0;1;0;0;1;1;0;0;1;0;0.5;0;0;1;0;0;0;0
0;0.5;0;0;1;0;0;0.516795330258689;0.49085139283022;0.333333333333333;0;0;1;0;0;0;1;0;0;0.25;0;0;0;0;0;0;1;0.73469387755102;0.705882352941177;0.543341211809169;0.5;0;1;0;1;1;0;0;0;1;1;0;0;0.35005584050466;1;0;0;0.666666666666667;1;0;0;0;0;0;0;0;1;0;0.5;0;0;1;0;0;1;0
0;1;1;0;0;0;0;0.709964040601249;0.583011112820644;0;0;1;0;0;1;0;0;0;0;0.75;0;0;0;0;0;0;1;0.510204081632653;0.450980392156863;0.591722018182969;0.5;0;1;0;0.333333333333333;0;0;1;0;1;1;0;0;0.415780616091989;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0.75;0;0;0;0;0;0;0
0;1;1;0;0;0;0;0.577739040352223;0.519926979851738;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.612244897959184;0.568627450980392;0.558605101248134;0.5;0;1;0;0.333333333333333;0;0;1;0;0;0;1;0;0.370791660825941;0;0;1;1;0;1;0;0;1;0;1;1;1;0;0.25;0;0;0;0;0;1;0
0;0.25;0;0;0;1;0;0.514476397286609;0.489744684920912;0;0;1;0;0;0;1;0;0;0;0.5;1;0;0;0;0;0;0;0.673469387755102;0.686274509803922;0.542760414603881;0.5;0;1;0;0;0;1;0;0;1;1;0;0;0.349266834102321;0;1;0;0.666666666666667;1;0;0;0;0;1;0;1;1;1;0;0;0;1;1;1;0;1
0;0.5;0;0;1;0;0;0.349854070584017;0.411204660172951;1;1;0;0;0;0;0;1;0;0;0.25;1;0;0;0;0;0;0;0.448979591836735;0.392156862745098;0.50152930166184;0.5;0;1;0;0.333333333333333;0;0;1;0;0;0;1;0;0.293254835782281;0;1;0;0.666666666666667;1;0;0;0;1;1;1;1;0;0;0.5;0;0;0;0;1;0;0
1;0.25;0;0;0;1;0;0.263943979041946;0.2313857135474;0.333333333333333;0;0;1;0;0;1;0;0;0;0.5;0;0;0;0;1;0;0;0.591836734693878;0.568627450980392;0.382836606814575;0;0;0;1;0;0;1;0;0;0.5;0;0;1;0.211219454132292;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0.25;0.5;0;0;0;0;1;1
1;0;0;0;0;0;1;0.271856042872369;0.233745264709918;0.666666666666667;0;0;0;1;0;0;1;0;0;0.25;0;0;0;1;0;0;0;0;0;0.383827429881929;0;0;0;1;1;1;0;0;0;0;0;1;0;0.213373089133592;1;0;0;1;0;1;0;0;1;0;1;1;0;1;0.25;0;0;1;0;0;1;1
1;0.5;0;0;1;0;0;0.317049337091971;0.247221200792933;0.666666666666667;0;0;0;1;0;0;1;0;0;0.25;0;0;1;0;0;0;0;0.244897959183673;0.235294117647059;0.389486959350121;0;0;0;1;0.666666666666667;0;0;0;1;0;0;1;0;0.225674539468351;1;0;0;0.333333333333333;0;0;1;0;0;0;0;0;0;0;0.5;0.75;0;1;1;1;0;1
1;0.25;0;0;0;1;0;0.219227819226823;0.218052348531607;0.666666666666667;0;0;0;1;1;0;0;0;0;0.75;0;0;0;1;0;0;0;0.346938775510204;0.294117647058824;0.37723682860526;0.5;0;1;0;1;1;0;0;0;0;0;1;0;0.199047878047266;1;0;0;1;0;1;0;0;1;0;0;1;1;1;0;1;0;0;1;1;1;1
1;0.5;0;0;1;0;0;0.229999701168432;0.221264355866889;0;0;1;0;0;1;0;0;0;0;0.75;0;0;0;1;0;0;0;0.163265306122449;0.196078431372549;0.378585785000875;1;1;0;0;0;0;1;0;0;0;0;1;0;0.201979945138297;1;0;0;0.666666666666667;1;0;0;0;0;0;0;1;0;1;0.5;0;0.5;0;1;1;0;1
1;0.25;0;0;0;1;0;0.208407128129016;0.21482549004349;0;0;1;0;0;0;0;1;0;0;0.25;0;0;0;0;1;0;0;0.551020408163265;0.490196078431373;0.375881759867924;0;0;0;1;1;1;0;0;0;1;1;0;0;0.196102525281419;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0.25;0;0;0;0;0;1;1
0;0.5;0;0;1;0;0;0.733777928300346;0.594372838785984;0.666666666666667;0;0;0;1;1;0;0;0;0;0.75;0;0;0;0;0;1;0;0.204081632653061;0.156862745098039;0.59768641628727;0.5;0;1;0;0.333333333333333;0;0;1;0;1;1;0;0;0.423883183128386;0;1;0;0.666666666666667;1;0;0;0;1;1;0;1;0;1;0.75;0;0;1;0;1;1;1
0;0.5;0;0;1;0;0;1;0.721385838297084;0.333333333333333;0;0;1;0;1;0;0;0;0;0.75;0;0;1;0;0;0;0;0.530612244897959;0.490196078431373;0.664364081010981;0;0;0;1;0.666666666666667;0;0;0;1;0.5;0;0;1;0.514464032831343;1;0;0;0.666666666666667;1;0;0;0;1;1;1;1;0;0;0;0;0;1;1;0;1;1
0;0.25;0;0;0;1;0;0.469892719466885;0.468474269783666;0.333333333333333;0;0;1;0;0;0;1;0;0;0.25;0;0;0;0;0;1;0;0.918367346938776;0.882352941176471;0.531594039468887;0.5;0;1;0;1;1;0;0;0;0.5;0;0;1;0.334097440392735;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0.25;0;0;1;0;1;0;1
1;1;1;0;0;0;0;0.376507854289727;0.26495050704806;1;1;0;0;0;1;0;0;0;0;0.75;0;0;0;0;1;0;0;0;0;0.39693291424291;0;0;0;1;0;0;1;0;0;1;1;0;0;0.241858931620259;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0.75;0;0;0;1;1;1;1
1;0.5;0;0;1;0;0;0.401116633961212;0.272288758687182;0;0;1;0;0;0;0;1;0;0;0.25;0;0;0;0;1;0;0;0.26530612244898;0.215686274509804;0.400014657145967;0;0;0;1;0;0;1;0;0;1;1;0;0;0.248557351953523;1;0;0;0.666666666666667;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;1;1
1;0.25;0;0;0;1;0;0.255628492593958;0.22890616506997;0.666666666666667;0;0;0;1;1;0;0;0;0;0.75;0;0;1;0;0;0;0;0.448979591836735;0.431372549019608;0.381795263371761;0.5;0;1;0;0.666666666666667;0;0;0;1;0.5;0;0;1;0.208956008961594;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0.25;0.5;0;1;1;0;0;1
1;0.5;0;0;1;0;0;0.420852466854599;0.278173379486756;1;1;0;0;0;0;0;1;0;0;0.25;0;0;1;0;0;0;0;0.489795918367347;0.470588235294118;0.402486163810134;0;0;0;1;0.666666666666667;0;0;0;1;1;1;0;0;0.25392937389495;1;0;0;0.333333333333333;0;0;1;0;0;1;1;0;0;0;0.25;0;0;1;1;0;1;1
1;0.25;0;0;0;1;0;0.216847127730574;0.217342463426066;1;1;0;0;0;0;0;1;0;0;0.25;0;0;1;0;0;0;0;0.285714285714286;0.235294117647059;0.376938696019213;0;0;0;1;0;0;1;0;0;0.5;0;0;1;0.198399862479709;0;0;1;0.333333333333333;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1
1;0.75;0;1;0;0;0;0.282401808927095;0.23688955078827;0;0;1;0;0;0;0;1;0;0;0.25;0;0;1;0;0;0;0;0;0.0196078431372549;0.385148069918952;0;0;0;1;1;1;0;0;0;1;1;0;0;0.216243608302516;1;0;0;0;0;0;0;1;1;0;0;1;1;1;0.75;0;0;1;0;1;1;1
0;0.75;0;1;0;0;0;0.517903995378072;0.719664886706495;0;0;1;0;0;1;0;0;0;0;0.75;1;0;0;0;0;0;0;0.36734693877551;0.372549019607843;0.452112889961944;0.5;0;1;0;0.333333333333333;0;0;1;0;0.5;0;0;1;0.359108536642569;0;1;0;0.666666666666667;1;0;0;0;0;0;0;0;1;0;0.75;0;0;0;0;1;0;1
0;0.75;0;1;0;0;0;0.571134862686894;0.289485799624682;1;1;0;0;0;0;1;0;0;0;0.5;0;1;0;0;0;0;0;0.897959183673469;0.843137254901961;0.321866684213661;0.5;0;1;0;0;0;1;0;0;1;1;0;0;0.761724472457034;0;0;1;0.666666666666667;1;0;0;0;1;1;1;0;1;0;0.25;0;0;0;0;1;1;1
0;0.5;0;0;1;0;0;0.952784612166429;0.665806289879058;0.333333333333333;0;0;1;0;0;0;1;0;0;0.25;0;1;0;0;0;0;0;0.306122448979592;0.333333333333333;0.533991137728211;0.5;0;1;0;0.666666666666667;0;0;0;1;0.5;0;0;1;0.357880628482914;1;0;0;0.666666666666667;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;0;0;1
0;0.25;0;0;0;1;0;0.58036278152424;0.237447360088774;0.666666666666667;0;0;0;1;0;0;1;0;0;0.25;1;0;0;0;0;0;0;0.510204081632653;0.490196078431373;0.627315244336183;0.5;0;1;0;0.666666666666667;0;0;0;1;1;1;0;0;0.172468936601031;1;0;0;1;0;1;0;0;1;1;1;0;1;1;0.5;0.25;0;1;0;1;1;1
0;0.25;0;0;0;1;0;0.471614985407058;0.657531227519068;0;0;1;0;0;0;0;1;0;0;0.25;1;0;0;0;0;0;0;0.795918367346939;0.764705882352941;0.621827608886222;0.5;0;1;0;0;0;1;0;0;0.5;0;0;1;0.338627652152835;1;0;0;1;0;1;0;0;1;0;1;1;0;0;0.25;0;0;0;0;0;1;1
0;0.75;0;1;0;0;0;0.337260312179379;0.337198989408752;0.333333333333333;0;0;1;0;0;1;0;0;0;0.5;1;0;0;0;0;0;0;0.36734693877551;0.352941176470588;0.192045348585913;0.5;0;1;0;1;1;0;0;0;0;0;1;0;0.135241391221639;1;0;0;0.333333333333333;0;0;1;0;0;0;1;1;0;0;0.75;0;0;1;1;1;1;1
0;0.75;0;1;0;0;0;0.190641591377713;0.412021473578908;0.333333333333333;0;0;1;0;1;0;0;0;0;0.75;1;0;0;0;0;0;0;0.469387755102041;0.490196078431373;0.709205093077555;0;0;0;1;0.333333333333333;0;0;1;0;1;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0
0;0.5;0;0;1;0;0;0.468401549939736;0.592376249798767;1;1;0;0;0;0;1;0;0;0;0.5;1;0;0;0;0;0;0;0.755102040816327;0.725490196078431;0.869283954759939;0.5;0;1;0;1;1;0;0;0;0.5;0;0;1;0.313206259016974;0;1;0;0;0;0;0;1;0;1;0;1;0;1;0.5;0;0;1;1;0;0;0
0;0.25;0;0;0;1;0;0.502156567819825;0.257763737167861;0.666666666666667;0;0;0;1;0;0;1;0;0;0.25;0;1;0;0;0;0;0;0.489795918367347;0.450980392156863;0.432455037645476;0;0;0;1;1;1;0;0;0;1;1;0;0;0.358287061677796;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0
0;0.5;0;0;1;0;0;0.675027641920093;0.306298492726796;0.333333333333333;0;0;1;0;0;0;1;0;0;0.25;0;0;0;0;0;0;1;0.918367346938776;0.92156862745098;0.395238984764988;0.5;0;1;0;0.333333333333333;0;0;1;0;0.5;0;0;1;0.43291384944836;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0.25;0;0.5;0;0;1;1;1
0;0.5;0;0;1;0;0;0.667187297666126;0.642200085423831;1;1;0;0;0;0;1;0;0;0;0.5;0;0;0;0;0;0;1;0.612244897959184;0.549019607843137;0.651490241927109;0.5;0;1;0;0.333333333333333;0;0;1;0;1;1;0;0;0.506871134105873;0;1;0;0.666666666666667;1;0;0;0;1;0;1;0;0;0;0.75;0;0;0;0;1;1;0
